cmdCode,refYear,avg_weight,total_weight,volatility,total_value,country_diversity,unit_value,growth,log_weight,log_unit_value,UMAP1,UMAP2
1901,2018,753006.9327052631,71535658.607,4042040.3901925893,193485099.0,95,2.7047363897627434,0.0,18.08570661909913,1.3096121063551711,-1.7801783,10.347256
1901,2019,693709.5181904761,72839499.41,3635284.9645720623,202411475.0,105,2.778869660548608,0.01822644578087962,18.103768954068695,1.3294249333117347,-1.8209444,10.412557
1901,2020,764858.1031881187,77250668.42199999,3634282.0128166266,216517010.0,101,2.8027849392476707,0.06056012256715748,18.16256613936154,1.3357336770572368,-1.8945545,10.256836
1901,2021,795799.9514038461,82763194.946,3434376.9808585825,260773443.0,104,3.1508382822840773,0.07135894920528751,18.231494027133213,1.423310309575319,-1.8072426,10.354107
1901,2022,752971.4159906543,80567941.511,3320645.9286242807,250578919.0,107,3.1101566491652903,-0.02652451293636393,18.204611392763542,1.4134611419339562,-1.7887841,10.33696
1901,2023,705272.2405431034,81811579.903,3128943.801935251,248260326.0,116,3.0345377304086676,0.015435896321494003,18.219929367383358,1.394891730204365,-1.6794744,10.601438
1901,2024,716508.3681724138,83114970.708,3053730.301077067,270812041.0,116,3.2582823370222336,0.015931617584520108,18.2357354085558,1.4488658716995937,-1.612839,10.663279
1902,2018,1246811.3047482518,178294016.579,4356233.163344819,556002496.0,143,3.118458525239621,0.0,18.998944529712983,1.415478948992656,-1.2608163,11.090019
1902,2019,1460604.158188406,201563373.83,5210720.605208452,612041093.0,138,3.036469778066906,0.13051115061222274,19.121614405186808,1.3953704926619923,-1.2699219,11.30403
1902,2020,1832669.3155652175,252908365.548,6686967.487604008,792254567.0,138,3.1325755685595666,0.25473373828969903,19.348537793528727,1.4189008369486469,-1.5768998,15.961594
1902,2021,1927930.198,277621948.512,6736155.238331265,891149259.0,144,3.2099380606482466,0.09771753856560172,19.44177085231841,1.4374479351509653,-1.6126282,15.962495
1902,2022,2077042.4143541667,299094107.667,7326883.277007913,978361043.0,144,3.27108096722944,0.07734316133895969,19.516268826538923,1.4518669491203886,-1.5702555,16.073849
1902,2023,2227955.0628639455,327509394.241,7899901.0811656425,1181957331.0,147,3.6089264973274173,0.09500450141143024,19.607027300386875,1.5279949659712448,-1.4704965,16.18513
1902,2024,2616434.4906973685,397698042.586,9555037.371464023,1488085327.0,152,3.741746671227847,0.21431033606734107,19.80120359084472,1.5564055638686245,-1.8426484,17.049774
1904,2018,203562.85025974025,15674339.47,704399.3277777286,61527085.0,77,3.925338296886846,0.0,16.567535568318963,1.5943929619882387,-2.497179,8.5476885
1904,2019,204529.02942528733,17794025.56,818218.824234185,68865964.0,87,3.8701733774510854,0.1352328813636443,16.694373372423705,1.5831295375801129,-2.4084208,8.564125
1904,2020,268157.9111264368,23329738.268,1291312.5070142902,92505148.0,87,3.9651172652408104,0.311099514234934,16.965239468110045,1.6024369155950262,-2.1564052,8.805935
1904,2021,387524.2809506173,31389466.757,1788474.3618786896,133728499.0,81,4.260298527376979,0.3454701632917607,17.26198297286043,1.6601877793933353,-2.0928893,8.893898
1904,2022,409378.4916363636,36025307.264,2214936.762569604,147578741.0,88,4.096529695597377,0.1476877751026524,17.399732256759815,1.6285598562741994,-1.9936489,9.2543745
1904,2023,408750.07562857145,42918757.941,2571944.8575751465,174187138.0,105,4.05853166206369,0.1913502257311379,17.57481955967497,1.6210762558245477,-1.8743004,9.8001795
1904,2024,533640.327039604,53897673.031,3450188.4854461895,234792479.0,101,4.356263745652831,0.25580691559370416,17.80259788153436,1.6782666696435689,-1.8356513,10.159958
1905,2018,422271.5721083333,50672588.653,1483785.0207709356,255614858.0,120,5.044440491296307,0.0,17.740895684356097,1.799138922511985,-0.20876577,7.064779
1905,2019,418925.5922682927,51527847.849,1490568.1061876302,253104372.0,123,4.911991914385904,0.016878142971078924,17.75763297382853,1.7769828159835825,-0.17679948,7.0486484
1905,2020,462206.1224173228,58700177.547,1746012.6219143628,308955724.0,127,5.263284318903812,0.13919327116122115,17.88795332648024,1.834704699112564,-0.070176974,7.340376
1905,2021,497765.8450076336,65207325.696,1808629.5407090895,367085756.0,131,5.629517114555005,0.11085397729487045,17.993082393221588,1.8915319681448386,0.013012822,7.466546
1905,2022,474487.01024615386,61683311.332,1681493.2681604133,351822812.0,130,5.7036952848780675,-0.054043227910145264,17.93752398765813,1.90265890941379,0.14806773,7.2457128
1905,2023,502008.2480152672,65763080.49,1958760.3437999878,391353493.0,131,5.950960479406126,0.06614056654710598,18.00156916725544,1.9388798485038727,0.059916966,7.544809
1905,2024,521746.14687878784,68870491.388,2017235.659916435,431742193.0,132,6.268899557688077,0.047251601884320316,18.04773837702342,1.9836049125074675,0.11551686,7.559149
2101,2018,278724.99514150945,29544849.485,1036470.9128083668,187466984.0,106,6.34516632400416,0.0,17.20142002216356,1.9940424538901054,-0.58374155,6.246121
2101,2019,299239.95031858404,33814114.386,1047006.7781642135,200246066.0,113,5.921966895661228,0.14450115588395596,17.3363888882468,1.9346999627199521,-0.50847876,6.4340777
2101,2020,316031.38269369374,35079483.479,1058094.7781327697,216803218.0,111,6.180342368204509,0.03742132881421556,17.373127029778747,1.9713470655172491,-0.551581,6.397489
2101,2021,321414.5823240741,34712774.891,1062861.8057301152,238666657.0,108,6.875470421175472,-0.010453648447233399,17.362618358451815,2.063752918949854,-0.63474584,6.3035793
2101,2022,328883.38756603777,34861639.082,1133687.3194897077,246617476.0,106,7.074179025831524,0.004288455517239331,17.366897644625862,2.0886711953124397,-0.6986313,6.306625
2101,2023,317251.2316134454,37752896.562,1203079.8944687045,248580488.0,119,6.584408366964906,0.08293521349352817,17.446572787322943,2.0260946093581618,-0.43158245,6.6129355
2101,2024,385360.6598303571,43160393.901,1586836.8331626547,264489707.0,112,6.128065179541047,0.1432339722627507,17.580433848011143,1.964039834282291,-0.5055941,6.6278086
2103,2018,745959.410338983,88023210.42,2580322.1283712094,232581334.0,118,2.642272792485559,0.0,18.293111103798672,1.2926078803360972,-1.6034949,10.708746
2103,2019,791670.2482380952,99750451.278,2873844.8037101426,258501465.0,126,2.5914816593617758,0.13322896088479208,18.418182147839257,1.2785648358405142,-1.530485,10.857615
2103,2020,996852.5206229509,121616007.516,3750108.1740389494,321910022.0,122,2.646937920221122,0.21920257961602285,18.616379167811637,1.2938878895322603,-1.3924389,10.859915
2103,2021,1064738.1625403226,132027532.155,3836807.952337802,364431315.0,124,2.760267567314337,0.08560982103963766,18.698521043307498,1.324490116389713,-1.4622879,10.888593
2103,2022,1039302.0651451614,128873456.07800001,3445939.7817979767,361618005.0,124,2.805992917433127,-0.023889532929367463,18.674341527993068,1.3365769079770942,-1.5774949,10.792428
2103,2023,955244.412826087,131823728.97,3298412.0802350114,383930244.0,138,2.9124517034969526,0.02289278942138684,18.696976209122376,1.3641642116359485,-1.3238872,10.987834
2103,2024,1018945.5133582089,136538698.79,3446289.756295841,399759234.0,134,2.927809020758554,0.03576723141455829,18.732118647351577,1.3680817693404121,-1.346925,11.016283
2104,2018,82408.95677419355,5109355.32,263091.92043313384,18085320.0,62,3.5396481292274773,0.0,15.446583989470708,1.5128495044741763,-2.5762417,8.36323
2104,2019,82443.4306923077,5358822.995,308739.7755907049,18094169.0,65,3.3765192500068055,0.04882566573976299,15.494255105056514,1.476253716674183,-2.4380052,8.494889
